,index,season,seasonNumber,series,episode,challengeType,outcomeType,rewardType,reward,chef
166,166,Masters Season 3,3,US Masters,2,Elimination,Individual,Money,10000.0,Mary Sue Milliken
167,167,Masters Season 3,3,US Masters,3,Quickfire,Individual,Money,5000.0,Hugh Acheson
168,168,Masters Season 3,3,US Masters,3,Elimination,Individual,Money,11800.0,Naomi Pomeroy
169,169,Masters Season 3,3,US Masters,3,Elimination,Individual,Money,1700.0,Suvir Saran
170,170,Masters Season 3,3,US Masters,4,Quickfire,Individual,Money,5000.0,Traci Des Jardins
171,171,Masters Season 3,3,US Masters,4,Elimination,Team,Money,10000.0,Floyd Cardoz
172,172,Masters Season 3,3,US Masters,5,Quickfire,Individual,Money,5000.0,Naomi Pomeroy
173,173,Masters Season 3,3,US Masters,5,Elimination,Individual,Money,10000.0,Mary Sue Milliken
174,174,Masters Season 3,3,US Masters,6,Quickfire,Individual,Money,5000.0,Traci Des Jardins
175,175,Masters Season 3,3,US Masters,6,Elimination,Team,Money,10000.0,Traci Des Jardins
176,176,Masters Season 3,3,US Masters,7,Quickfire,Individual,Money,5000.0,Hugh Acheson
177,177,Masters Season 3,3,US Masters,7,Elimination,Individual,Money,10000.0,Naomi Pomeroy
178,178,Masters Season 3,3,US Masters,8,Quickfire,Individual,Money,5000.0,Hugh Acheson
179,179,Masters Season 3,3,US Masters,8,Elimination,Individual,Money,10000.0,Mary Sue Milliken
180,180,Masters Season 3,3,US Masters,9,Quickfire,Individual,Money,5000.0,Traci Des Jardins
181,181,Masters Season 3,3,US Masters,9,Elimination,Individual,Money,10000.0,Mary Sue Milliken
182,182,Miami,3,US,2,Elimination,Individual,Prize,The winner received a collection of books by Anthony Bourdain,Tre W.
183,183,Miami,3,US,4,Elimination,Individual,Prize,"The winner received three books from guest judge, chef Alfred Portale, and an invitation to spend a week at the Gotham Bar and Grill working with Portale and his staff.",Howie K.
184,184,Miami,3,US,6,Elimination,Individual,Prize,The winner received a bottle of Argentine wine from guest judge DUO restaurant co-owner Maria Frumkin.,Howie K.
185,185,Miami,3,US,8,Elimination,Team,Prize,Each member of the winning team received two tickets to Italy.,"Tre W., CJ J."
186,186,Miami,3,US,9,Quickfire,Individual,Prize,The winner dined with restaurateur Govind Armstrong at Table 8.,Dale L.
187,187,Miami,3,US,9,Elimination,Team,Prize,The winner received a first-edition copy of Armstrong's book and a platinum card good for entry into all Club Nikki locations.,Tre W.
188,188,Miami,3,US,11,Elimination,Team,Prize,The winner received a fully stocked pantry from Town & Country. ,Sara M.
189,189,Miami,3,US,12,Elimination,Individual,Prize,The winner received a 17-inch Apple MacBook Pro laptop computer.,Casey T.
190,190,Miami,3,US,13,Quickfire,Individual,Prize,"The winner received an early copy of Lakshmi's new cookbook Tangy, Tart, Hot and Sweet ",Hung H.
191,191,Miami,3,US,13,Elimination,Individual,Prize,The winner received two Continental business first class tickets to any Continental destination worldwide. ,Casey T.
192,192,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Bene B.
193,193,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Brian Hu.
194,194,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Carlos G.
195,195,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Nicholas E.
196,196,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Nina C.
197,197,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Patty V.
198,198,New Orleans,11,US,5,Quickfire,Team,Money,1428.57,Travis M.
199,199,New Orleans,11,US,6,Elimination,Individual,Money,10000.0,Nina C.
200,200,New Orleans,11,US,10,Quickfire,Individual,Money,10000.0,Shirley C.
201,201,New Orleans,11,US,11,Elimination,Individual,Prize,2013 Toyota Rav 4,Shirley C.
202,202,New Orleans,11,US,15,Quickfire,Individual,Prize,Toyota Corolla,Carlos G.
203,203,New Orleans,11,US,15,Elimination,Individual,Prize,Dish will be on Emeril's menu,Shirley C.
204,204,New Orleans,11,US,16,Quickfire,Individual,Money,10000.0,Nicholas E.
205,205,New York,6,US,1,Quickfire,Individual,Money,15000.0,Jennifer C.
206,206,New York,6,US,2,Quickfire,Individual,Money,15000.0,Michael V.
207,207,New York,5,US,4,Quickfire,Individual,Prize,"The winner received a copy of Rocco DiSpirito's book, Rocco Gets Real",Leah C.
208,208,New York,5,US,4,Elimination,Individual,Prize,"The winning chef received a custom-made kit of two dozen chef's tools put together by Rocco DiSpirito, as well as an opportunity to present a dish live on The Today Show the morning after the episode aired.",Ariane D.
209,209,New York,6,US,5,Quickfire,Individual,Money,15000.0,Mike I.
210,210,New York,5,US,6,Quickfire,Individual,Prize,"The prize, in addition to immunity in the elimination challenge, was an autographed copy of Stewart's latest book, Martha Stewart's Cooking School.",Ariane D.
211,211,New York,5,US,6,Elimination,Individual,Prize,"All four of the judges' favorites received copies of Michelle Bernstein's latest cookbook, Cuisine a Latina.",Hosea R.
212,212,New York,6,US,7,Quickfire,Individual,Money,15000.0,Kevin G.
213,213,New York,6,US,9,Elimination,Individual,Money,2500.0,Bryan V.
214,214,New York,6,US,9,Elimination,Individual,Money,2500.0,Eli K.
215,215,New York,6,US,9,Elimination,Individual,Money,2500.0,Michael V.
216,216,New York,6,US,9,Elimination,Individual,Money,2500.0,Robin L.
217,217,New York,5,US,9,Elimination,Team,Prize,The winner of the challenge received a new suite of GE Monogram appliances.,Stefan R.
218,218,New York,5,US,10,Elimination,Individual,Prize,The winner of the challenge received two tickets to Super Bowl XLIII.,Carla H.
219,219,New York,5,US,11,Elimination,Individual,Prize,"The winner received a copy of Eric Ripert's book On the Line, an opportunity to shadow Ripert at three of his restaurants for one week, starting at Le Bernardin, with a room at the Ritz-Carlton Hotel, and a trip to the Food & Wine Festival at Pebble Beach.",Stefan R.
220,220,New York,5,US,12,Elimination,Individual,Prize,"The winner received a bottle of Terlato Angel's Peak Wine and a three-day, two-night trip to the Terlato vineyard.",Fabio V.
221,221,New York,5,US,13,Quickfire,Individual,Prize,"The winner would join the four finalists in the Elimination Challenge, but would have to win that challenge to reach the season finale. In addition, they also received a copy of Emeril's new book, Emeril at the Grill.",Jeff M.
222,222,New York,5,US,13,Elimination,Individual,Prize,The winner received a new 2009 Toyota Venza.,Carla H.
223,223,New York,6,US,13,Elimination,Individual,Money,30000.0,Kevin G.
224,224,Portland,18,US,3,Quickfire,Individual,Money,10000.0,Avishar B.
225,225,Portland,18,US,4,Quickfire,Individual,Money,10000.0,Chris V.
226,226,Portland,18,US,5,Elimination,Team,Money,10000.0,Byron G.
227,227,Portland,18,US,6,Quickfire,Individual,Money,10000.0,Gabriel P.
228,228,Portland,18,US,10,Quickfire,Individual,Money,10000.0,Dawn B.
229,229,Portland,18,US,12,Elimination,Individual,Money,10000.0,Shota N.
230,230,San Francisco,1,US,7,Elimination,Team,Prize,Accompany Jeffrey Chodorow to Cannes Film Festival,Dave M.
231,231,San Francisco,1,US,9,Quickfire,Individual,Prize,A bottle of Shafer Hillside Select Cabernet Sauvignon,Harold D.
232,232,Seattle,10,US,4,Elimination,Individual,Money,10000.0,Kristen K.
233,233,Seattle,10,US,5,Elimination,Team,Money,10000.0,No winner
234,234,Seattle,10,US,6,Elimination,Individual,Prize,Toyota Prius,Brooke W. 
235,235,Seattle,10,US,7,Elimination,Individual,Money,10000.0,Kristen K.
236,236,Seattle,10,US,8,Quickfire,Individual,Money,5000.0,Micah F.
237,237,Seattle,10,US,9,Quickfire,Team,Prize,Bob Kramer knife,Micah F.
238,238,Seattle,10,US,9,Elimination,Individual,Money,15000.0,Kristen K.
239,239,Seattle,10,US,10,Elimination,Individual,Money,10000.0,Kristen K.
240,240,Seattle,10,US,10,Elimination,Individual,Money,10000.0,Sheldon S.
241,241,Seattle,10,US,11,Elimination,Team,Prize,Toyota Avalon,Sheldon S.
242,242,Seattle,10,US,12,Quickfire,Individual,Money,5000.0,Stefan R.
243,243,Seattle,10,US,12,Elimination,Individual,Prize,Terlato wine for a year,Josh V.
244,244,Seattle,10,US,13,Elimination,Individual,Prize,7 night cruise,Brooke W. 
245,245,Seattle,10,US,14,Quickfire,Individual,Money,5000.0,Sheldon S.
246,246,Seattle,10,US,14,Elimination,Individual,Prize,Trip somewhere,Brooke W. 
247,247,Texas,9,US,3,Quickfire,Individual,Money,5000.0,Dakota W.
248,248,Texas,9,US,4,Quickfire,Individual,Money,20000.0,Paul Q.
249,249,Texas,9,US,5,Quickfire,Individual,Money,5000.0,Lindsay A.
250,250,Texas,9,US,6,Elimination,Team,Prize,2011 Toyota Venza,Heather T.
251,251,Texas,9,US,7,Quickfire,Individual,Money,5000.0,Ty-Lor B.
252,252,Texas,9,US,7,Elimination,Team,Money,5000.0,Edward L.
253,253,Texas,9,US,7,Elimination,Team,Money,5000.0,Ty-Lor B.
254,254,Texas,9,US,8,Quickfire,Individual,Money,10000.0,Paul Q.
255,255,Texas,9,US,9,Quickfire,Individual,Prize,"Received a copy of ""Modernist Cuisine""",Ty-Lor B.
256,256,Texas,9,US,9,Elimination,Team,Money,5000.0,Grayson S.
257,257,Texas,9,US,9,Elimination,Team,Money,5000.0,Lindsay A.
258,258,Texas,9,US,9,Elimination,Team,Money,5000.0,Paul Q.
259,259,Texas,9,US,11,Elimination,Individual,Prize,Two tickets to the premiere of Snow White and the Huntsman,Paul Q.
260,260,Texas,9,US,12,Quickfire,Team,Money,5000.0,Chris J.
261,261,Texas,9,US,12,Quickfire,Team,Money,5000.0,Grayson S.
262,262,Texas,9,US,12,Elimination,Individual,Money,15000.0,Paul Q.
263,263,Texas,9,US,13,Quickfire,Individual,Money,5000.0,Edward L.
264,264,Texas,9,US,14,Elimination,Individual,Prize,Toyota Prius,Paul Q.
265,265,Texas,9,US,15,Elimination,Individual,Money,10000.0,Lindsay A.
266,266,Texas,9,US,15,Elimination,Individual,Money,10000.0,Paul Q.
267,267,Texas,9,US,15,Elimination,Individual,Money,10000.0,Sarah G.
268,268,Texas,9,US,16,Quickfire,Individual,Money,20000.0,Sarah G.
269,269,California,13,US,3,Elimination,Individual,Prize,Barrel of wine from Sanford Winery,Kwame O.
270,270,California,13,US,4,Quickfire,Individual,Prize,"Portable solar stove and a $10,000 donation to World Central Kitchen on their behalf",Wesley T.
271,271,California,13,US,4,Elimination,Team,Prize,Trip to Palm Springs,Jeremy F.
272,272,California,13,US,13,Sudden Death Quickfire,Individual,Prize,Rational AG oven,Jeremy F.
273,273,California,13,US,14,Quickfire,Individual,Money,25000.0,Jeremy F.
274,274,Masters Season 4,4,US Masters,1,Quickfire,Team,Money,5000.0,Chris Cosentino
275,275,Masters Season 4,4,US Masters,1,Quickfire,Team,Money,5000.0,Patricia Yeo
276,276,Masters Season 4,4,US Masters,1,Elimination,Team,Money,11000.0,Chris Cosentino
277,277,Masters Season 4,4,US Masters,1,Elimination,Team,Money,1000.0,Patricia Yeo
278,278,Masters Season 4,4,US Masters,1,Elimination,Team,Money,1000.0,Thierry Rautureau
279,279,Masters Season 4,4,US Masters,1,Elimination,Team,Money,1000.0,Clark Frasier
280,280,Masters Season 4,4,US Masters,2,Elimination,Team,Money,10000.0,Patricia Yeo
281,281,Masters Season 4,4,US Masters,3,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
282,282,Masters Season 4,4,US Masters,3,Elimination,Individual,Money,10000.0,Art Smith
283,283,Masters Season 4,4,US Masters,4,Quickfire,Team,Money,5000.0,Lorena Garcia
284,284,Masters Season 4,4,US Masters,4,Elimination,Individual,Money,5000.0,Takashi Tagihashi
285,285,Masters Season 4,4,US Masters,4,Elimination,Team,Money,5000.0,Thierry Rautureau
286,286,Masters Season 4,4,US Masters,5,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
287,287,Masters Season 4,4,US Masters,5,Elimination,Individual,Money,10000.0,Lorena Garcia
288,288,Masters Season 4,4,US Masters,6,Quickfire,Individual,Money,5000.0,Takashi Tagihashi
289,289,Masters Season 4,4,US Masters,6,Elimination,Individual,Money,10000.0,Chris Cosentino
290,290,Masters Season 4,4,US Masters,7,Quickfire,Individual,Money,5000.0,Kerry Heffernan
291,291,Masters Season 4,4,US Masters,7,Elimination,Individual,Money,10000.0,Lorena Garcia
292,292,Masters Season 4,4,US Masters,8,Quickfire,Team,Money,2500.0,Kerry Heffernan
293,293,Masters Season 4,4,US Masters,8,Quickfire,Team,Money,2500.0,Lorena Garcia
294,294,Masters Season 4,4,US Masters,8,Elimination,Individual,Money,10000.0,Chris Cosentino
295,295,Masters Season 4,4,US Masters,9,Quickfire,Individual,Money,5000.0,Chris Cosentino
296,296,Masters Season 4,4,US Masters,9,Elimination,Individual,Money,10000.0,Kerry Heffernan
297,297,World All Stars,20,US,2,Quickfire,Individual,Money,10000.0,May Phattanant Thongthong
298,298,Masters Season 5,5,US Masters,1,Elimination,Individual,Money,10000.0,Odette Fada
299,299,Masters Season 5,5,US Masters,2,Sudden Death Quickfire,Individual,Money,5000.0,Sue Zemanick
300,300,Masters Season 5,5,US Masters,2,Elimination,Individual,Money,10000.0,Sang Yoon
301,301,Masters Season 5,5,US Masters,3,Quickfire,Individual,Money,5000.0,Sang Yoon
302,302,Masters Season 5,5,US Masters,3,Elimination,Individual,Money,10000.0,Jennifer Jasinski
303,303,Masters Season 5,5,US Masters,4,Quickfire,Individual,Money,5000.0,Sang Yoon
304,304,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,Sue Zemanick
305,305,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,David Burke
306,306,Masters Season 5,5,US Masters,4,Elimination,Team,Money,5000.0,Douglas Keane
307,307,Masters Season 5,5,US Masters,5,Elimination,Team,Money,10000.0,Sang Yoon
308,308,Masters Season 5,5,US Masters,6,Quickfire,Individual,Money,5000.0,Douglas Keane
309,309,Masters Season 5,5,US Masters,6,Elimination,Individual,Money,10000.0,Neal Fraser
310,310,Masters Season 5,5,US Masters,7,Quickfire,Individual,Money,5000.0,Douglas Keane
311,311,Masters Season 5,5,US Masters,7,Elimination,Team,Money,5000.0,Douglas Keane
312,312,Masters Season 5,5,US Masters,7,Elimination,Team,Money,5000.0,Jennifer Jasinski
313,313,Masters Season 5,5,US Masters,8,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
314,314,Masters Season 5,5,US Masters,8,Elimination,Individual,Money,10000.0,Jennifer Jasinski
315,315,Masters Season 5,5,US Masters,9,Quickfire,Individual,Money,5000.0,Jennifer Jasinski
316,316,Masters Season 5,5,US Masters,9,Elimination,Individual,Money,10000.0,Bryan V.
317,317,World All Stars,20,US,5,Elimination,Individual,Prize,"$10,000 for a VRBO trip",Amar S.
318,318,World All Stars,20,US,6,Elimination,Team,Money,10000.0,Nicole Gomes
319,319,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Ali Ghzawi
320,320,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Tom Goetter
321,321,World All Stars,20,US,8,Elimination,Team,Prize,Trip to Fast & Furious Movie premiere,Gabriel Rodriguez
322,322,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Ali Ghzawi
323,323,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Buddha
324,324,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Amar S.
325,325,World All Stars,20,US,9,Elimination,Team,Money,10000.0,Sara B.
326,326,World All Stars,20,US,11,Quickfire,Individual,Money,10000.0,Buddha
327,327,World All Stars,20,US,13,Quickfire,Individual,Prize,"$10,000 giftcard from Delta",Ali Ghzawi
